Li					Ri					IP^-1(Li)				IP^-1(Ri)
01100101011100100110111101001100	01110000011010010010000001101101	00100100001100010111111001111001	10001110101000001001001111000100	
00100000011011010111010101110011	01101111011011000110111101100100	11010101000000000110011011011010	11001111101010100101110011001111	
01101001011100110010000001110010	01101101011000010010000001110100	01010010010111001001111000010010	11101000100111100000110011110110	
00100000001011000111010001100101	01110011011011100110111101100011	00100011000110101100111100100110	00110011000001010010010001010110	
01100101011101000110001101100101	00100000011100100111010101110100	10001110110111110011000001100011	10110111010110000011001001000110	
01110000011010010110010001100001	01100011011010010111001101101001	01010101100010111110111111101111	10100011100010010101101001011100	
00100000011001110110111001101001	01110100011010010110110001100101	01110101000000100110111000001010	01000100100011001100111101000101	
01101100010000010010000000101110	00100000011100110110000101101001	10111011011000001001101101101000	00111101000110010111110101000010	
01101001011011010110100101110011	01110101011100010110100101101100	10011001001000110111100011011001	01110101010111000100101110111110	
01100001001000000010110001100101	01101001011011010110100101101110	01110011110100110111101101010111	01111000101010100101000100010101	
01110101011010010110010100100000	01100010011011110010000001110011	01110111001000111110101110110101	11011011110100111110011010100011	
01100011011001010110000101100011	00100000011010010111010001100001	10110010101101110110010110001110	00000010100010010100100101110000	
01110101011100010110000101100101	01100100001000000010110001100101	11100110110001111100011100011111	11010010111100001101101110000100	
01110100011010010110001001100101	01100001001000000111001101101001	11111101000000111000001010001111	00000010010101010101111001101100	
01101001011011100010000001100010	00100000011011000110100101101000	01101011011010000001111101000100	10100100000001100001000100010010	
01101001011100110110100101101110	01101001011011000110010100100000	10111010111010101010101111100100	10111000001101101111001101001100	
01100100011011100110010101100111	01100001011011010010000001101001	10011101101111001010111101110010	01101100101110001100111100000100	
00100000011010010110111001100111	01101100011011000111010101101110	11010111000110111010111000110010	10000010011110111000000100001110	
01000001001000000011111101100001	01101001011100100110010101110000	00010000100100000100010001011111	00001001011110110000000001111100	
01110000001000000110110101100001	01100101011000110110000101101100	00110001100101110011001101111111	00101100010100111010011101100100	
01110011001000000111010001100001	01101100011010010110110101101001	00101100010101100110110100011111	00011110011100100001111101001010	
01100101011101010111000101101001	01110100011100110110010100100000	00000110000101001100110111110000	10101111110100010101001101110100	
01110000011001010111001000100000	01100001011011000110110001100101	00010111000111101000010000100111	00010100101010101111110100011010	
01110010011000010010000001110100	01110100011010010110100001100011	11111010001110011101010001001100	01000010011110000011011110101101	
01101111011101000110001101100101	01110011011011110110111000100000	11110101001111010111100000111110	00111101101101011000100001100100	
01101101011101010111001001110100	01101100011001010110010000100000	00100000010101000110000100110101	00001010010111000100010111101100	
01110101011101000110001101100101	01100001001000000010110001110011	00000110110001010111001011011101	11110000010010101011111000110001	
00101110011101000110010101101101	00000000000000000000000000001010	11010110111001000010011111110101	01110100101100101011111001100001	
b31			     b00	b31			     b00	b31			     b00	b31			     b00	
